"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"C1","CL10A106KP8NNNC","C0603","23.368mm","20.32mm","23.368mm","20.32mm","23.368mm","21.02mm","2","T","270","Yes","10uF","10uF"
"C2","CL10A106KP8NNNC","C0603","23.114mm","7.874mm","23.114mm","7.874mm","23.814mm","7.874mm","2","T","180","Yes","10uF","10uF"
"C3","CL05B104KO5NNNC","C0402","40.64mm","11.811mm","40.64mm","11.811mm","40.22mm","11.811mm","2","T","0","Yes","100nF","100nF"
"C4","CL05B103KB5NNNC","C0402","23.114mm","9.525mm","23.114mm","9.525mm","22.694mm","9.525mm","2","T","0","Yes","10nF","10nF"
"C5","TCC0402X5R105M6R3AT","C0402","28.061mm","9.793mm","28.061mm","9.793mm","27.64mm","9.793mm","2","T","0","Yes","1uF","1uF"
"C6","CL10C101JB8NNNC","C0603","35.297mm","18.001mm","35.297mm","18.001mm","35.997mm","18.001mm","2","T","180","Yes","100pF","100pF"
"C7","TCC0402X5R105M6R3AT","C0402","30.48mm","12.446mm","30.48mm","12.446mm","30.48mm","12.866mm","2","T","270","Yes","1uF","1uF"
"Cbyp","CL05B104KO5NNNC","C0402","34.798mm","8.89mm","34.798mm","8.89mm","34.798mm","9.31mm","2","T","270","Yes","100nF","100nF"
"Cbyp1","CL05B104KO5NNNC","C0402","32.385mm","8.89mm","32.385mm","8.89mm","32.385mm","9.31mm","2","T","270","Yes","100nF","100nF"
"Cbyp2","CL05B104KO5NNNC","C0402","25.4mm","10.668mm","25.4mm","10.668mm","25.82mm","10.668mm","2","T","180","Yes","100nF","100nF"
"D1","SS34_C8678","SMA_L4.3-W2.6-LS5.2-RD","29.083mm","18.923mm","29.083mm","18.923mm","26.883mm","18.923mm","2","T","0","Yes","SS34","SS34"
"H1","B-2100S04P-A110","HDR-TH_4P-P2.54-V-M","21.336mm","1.778mm","21.336mm","1.778mm","17.526mm","1.778mm","4","T","0","No","B-2100S04P-A110","B-2100S04P-A110"
"H2","PZ254V-11-03P","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","37.592mm","1.778mm","37.592mm","1.778mm","40.132mm","1.778mm","3","T","180","No","PZ254V-11-03P","PZ254V-11-03P"
"R1","FRC0402F1002TS","R0402","40.64mm","13.589mm","40.64mm","13.589mm","41.073mm","13.589mm","2","T","180","Yes","10kΩ","10kΩ"
"R2","FRC0402F1002TS","R0402","40.64mm","10.16mm","40.64mm","10.16mm","41.073mm","10.16mm","2","T","180","Yes","10kΩ","10kΩ"
"R3","FRC0402J102 TS","R0402","29.718mm","9.779mm","29.718mm","9.779mm","29.285mm","9.779mm","2","T","0","Yes","1kΩ","1kΩ"
"R4","FRC0402F1002TS","R0402","35.306mm","16.51mm","35.306mm","16.51mm","34.873mm","16.51mm","2","T","0","Yes","10kΩ","10kΩ"
"R5","FRC0402J102 TS","R0402","30.48mm","14.605mm","30.48mm","14.605mm","30.48mm","14.172mm","2","T","90","Yes","1kΩ","1kΩ"
"R6","FRC0402J102 TS","R0402","11.883mm","15.382mm","11.883mm","15.382mm","11.883mm","14.95mm","2","T","90","Yes","1kΩ","1kΩ"
"R7","3296W-1-104LF","RES-ADJ-TH_3296W","10.033mm","3.048mm","10.033mm","3.048mm","7.493mm","3.048mm","3","T","90","No","100kΩ","100kΩ"
"SW1","MST-12D18G4 SPDT Slide Switch","SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH","29.083mm","26.035mm","29.083mm","26.035mm","31.583mm","26.035mm","3","T","180","Yes","Slide Switch","Slide Switch"
"U1","MCP6002DRG","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","35.179mm","12.954mm","35.179mm","12.954mm","37.861mm","11.049mm","8","T","90","Yes","MCP6002DRG","MCP6002DRG"
"U2","AMS1117-5.0_C18212701","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","20.32mm","14.478mm","20.32mm","14.478mm","23.29mm","12.178mm","4","T","0","Yes","AMS1117-5.0","AMS1117-5.0"
"U3","S2B-PH-K-S-GW","CONN-TH_S2B-PH-K-S-GW","37.592mm","24.765mm","37.592mm","24.765mm","38.592mm","24.765mm","2","T","0","No","S2B-PH-K-S-GW","S2B-PH-K-S-GW"
"U4","AP2112K-3.3TRG1_C23380830","SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","27.432mm","13.97mm","27.432mm","13.97mm","28.532mm","13.02mm","5","T","0","Yes","AP2112K-3.3TRG1","AP2112K-3.3TRG1"
"U5","MCP6002-I/SN","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","12.573mm","20.193mm","12.573mm","20.193mm","10.668mm","17.593mm","8","T","0","Yes","MCP6002-I/SN","MCP6002-I/SN"
"SCREW?","Screw-Hole-M2","Screw-Hole-M2","3.254mm","28.369mm","3.254mm","28.369mm","3.254mm","28.369mm","1","B","180","No","Screw-Hole-M2","Screw-Hole-M2"
"SCREW?","Screw-Hole-M2","Screw-Hole-M2","3.254mm","3.258mm","3.254mm","3.258mm","3.254mm","3.258mm","1","B","180","No","Screw-Hole-M2","Screw-Hole-M2"
"SCREW?","Screw-Hole-M2","Screw-Hole-M2","43.928mm","3.258mm","43.928mm","3.258mm","43.928mm","3.258mm","1","B","180","No","Screw-Hole-M2","Screw-Hole-M2"
"SCREW?","Screw-Hole-M2","Screw-Hole-M2","43.928mm","28.215mm","43.928mm","28.215mm","43.928mm","28.215mm","1","B","180","No","Screw-Hole-M2","Screw-Hole-M2"
